"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"symbol";"entrez"
"ENSG00000163534";641.350974885612;3.87110291047143;1.00246588842703;3.8615806833543;0.00011265579592382;0.00529491531714971;"FCRL1";"115350"
"ENSG00000158477";11.340990908018;3.08176333486496;0.868664437313566;3.54770289019271;0.000388606318637334;0.0131630771470114;"CD1A";"909"
"ENSG00000163564";434.674961778334;2.15365086231991;0.526250540604524;4.09244399035852;4.26850366102846e-05;0.00265510628860654;"PYHIN1";"149628"
"ENSG00000163568";188.555460974199;3.17563079565824;0.620403431784221;5.11865446412091;3.07723153242227e-07;9.25502745174342e-05;"AIM2";"9447"
"ENSG00000181036";108.164223016295;1.67158222370396;0.41952258985451;3.98448680506971;6.76261144564193e-05;0.00368697037162896;"FCRL6";"343413"
"ENSG00000260766";375.333415249034;0.525530420589152;0.161723614781411;3.24955895463672;0.00115584117256222;0.0287322589026844;NA;NA
"ENSG00000162739";738.917155275491;3.14297736416512;0.55587037163876;5.65415522129614;1.56614630779395e-08;1.38270510638751e-05;"SLAMF6";"114836"
"ENSG00000066294";934.209739054114;2.47802777413676;0.50885526310053;4.86980867415573;1.11706356345612e-06;0.000228156064688287;"CD84";"8832"
"ENSG00000117090";224.13550607187;2.21164205438548;0.463062574546706;4.77611920278909;1.78710481936168e-06;0.000301754616844195;"SLAMF1";"6504"
"ENSG00000235101";3.75439407801003;2.69009546760107;0.827641681324843;3.25031414959058;0.00115277588614985;0.0286821120254867;NA;NA
"ENSG00000228863";7.10266665842622;2.95736195987505;0.739585743858108;3.99867356075272;6.36984624231351e-05;0.00355063791865333;NA;NA
"ENSG00000117091";460.87404599197;2.2504113682021;0.484387454023181;4.64589111363402;3.38611580902853e-06;0.000458785166224267;"CD48";"962"
"ENSG00000026751";600.313640721522;2.43199356200464;0.729859254790411;3.33214047234768;0.000861807439229315;0.0233764200240507;"SLAMF7";"57823"
"ENSG00000122224";404.641480788058;2.46211883783195;0.631062403698605;3.90154574793502;9.55803931487893e-05;0.00469965596831904;"LY9";"4063"
"ENSG00000122223";70.6490052425424;1.73374605872032;0.435631876918494;3.97984204228631;6.89610737972374e-05;0.00373045059209334;"CD244";"51744"
"ENSG00000186517";1459.08179716961;1.99602086561546;0.461578951495141;4.32433250942223;1.52994389611908e-05;0.00132509602825579;"ARHGAP30";"257106"
"ENSG00000162747";156.275372561611;2.32545708173946;0.693274458013996;3.35430947276081;0.000795633240242702;0.0220624986344504;"FCGR3B";"2215"
"ENSG00000132185";195.158054684535;3.72427600263041;1.1776740942997;3.162399530275;0.00156474719788482;0.0353424752197339;"FCRLA";"84824"
"ENSG00000162746";66.2877702928192;0.758423983599073;0.242474392352184;3.12785187846762;0.00176088898308156;0.0383098335277895;"FCRLB";"127943"
"ENSG00000198574";27.0011025000606;1.59433969056284;0.447757500053296;3.56072135111766;0.000369837393375297;0.0127482111074163;"SH2D1B";"117157"
"ENSG00000143228";41.2587934704449;1.55727418567932;0.38783988590569;4.01525021605951;5.93827608171045e-05;0.00334491483028826;"NUF2";"83540"
"ENSG00000143167";36.5585806616544;3.30290998401847;0.739593644335491;4.46584419608698;7.97536369601092e-06;0.000833121103038637;"GPA33";"10223"
"ENSG00000198821";610.572423116675;2.22664291569241;0.421479965340093;5.28291520071595;1.27144252866641e-07;5.5235096138208e-05;"CD247";"919"
"ENSG00000241666";30.3553309760537;2.54425115058831;0.615399118393526;4.13431068479587;3.56021586701694e-05;0.00232552620678727;NA;NA
"ENSG00000198771";1443.47226419065;1.53515919808486;0.317305253931321;4.83811465163174;1.3107652825243e-06;0.000244043095356515;"RCSD1";"92241"
"ENSG00000143185";28.7746206576288;2.7154077078547;0.591496622586217;4.59074084984974;4.41675457943497e-06;0.000542072448809667;"XCL2";"6846"
"ENSG00000227777";2.9354180064047;3.84283380183354;0.872457595336414;4.40460811204442;1.05975279825931e-05;0.00101538490686959;NA;NA
"ENSG00000188404";689.77766798032;2.62125708572184;0.458886373626981;5.71221382104627;1.11515847529953e-08;1.32699010045534e-05;"SELL";"6402"
"ENSG00000117586";102.878391782864;1.0895461142011;0.238924471931246;4.56021145675958;5.11021359456853e-06;0.000613466576861266;"TNFSF4";"7292"
"ENSG00000120332";326.322416887363;-2.82549660288229;0.622772073884583;-4.53696740969464;5.70689215797996e-06;0.000667486886631425;"TNN";"63923"
"ENSG00000116191";1064.39384311453;1.0748617480983;0.239003129796;4.49727059648023;6.88313632837517e-06;0.000756564490647791;"RALGPS2";"55103"
"ENSG00000135838";509.829870907771;1.0252956555556;0.234797527713142;4.3667225355466;1.26124780205329e-05;0.00115835876155693;"NPL";"80896"
"ENSG00000116701";395.244579647277;1.30984569200199;0.350637612895043;3.73561090947213;0.000187260022441038;0.00777711616720604;"NCF2";"4688"
"ENSG00000090104";3853.1781895446;2.67912321256284;0.499047105111717;5.36847761487983;7.94040442656793e-08;3.95128961364978e-05;"RGS1";"5996"
"ENSG00000127074";44.1924306601391;3.44140695078959;0.631997172831393;5.44528852142145;5.17214801745506e-08;2.92234429156284e-05;"RGS13";"6003"
"ENSG00000116741";1520.70904425516;1.29783474609596;0.353414335697743;3.67227532956085;0.000240400473295021;0.00934310147190297;"RGS2";"5997"
"ENSG00000081237";3156.54068225236;2.06574817786317;0.419292894791105;4.92674262675579;8.36117714219138e-07;0.000189121534879864;"PTPRC";"5788"
"ENSG00000203721";9.04893532996515;2.55117957863052;0.8312538564232;3.06907397652022;0.00214723413941882;0.0444401085872833;"LINC00862";"554279"
"ENSG00000170128";12.401706762885;2.37013804201261;0.531769299542119;4.45707949679197;8.30837985743733e-06;0.000848477792232098;"GPR25";"2848"
"ENSG00000116852";1000.01245596457;1.90663624775646;0.416240649538321;4.5806103989873;4.63620804440564e-06;0.000566035483992257;"KIF21B";"23046"
"ENSG00000143851";672.540267827289;1.94555914413178;0.455694291480645;4.26943935990563;1.959649165943e-05;0.00153238965779125;"PTPN7";"5778"
"ENSG00000231507";6.77791876339753;1.84839551501031;0.558497382254795;3.30958671202338;0.000934338200314418;0.0248270895188401;NA;NA
"ENSG00000122188";181.083547614377;2.77591961805173;0.600727994341638;4.620926016764;3.82031002484636e-06;0.000497895547952477;"LAX1";"54900"
"ENSG00000227417";2.38941458077047;3.01519842536682;0.821211621224428;3.67164607445661;0.000240993270986287;0.00934310147190297;NA;NA
"ENSG00000240710";28.6435985619441;2.06900516134597;0.507916743831157;4.07351241414038;4.63093818821973e-05;0.0028102915138223;NA;NA
"ENSG00000240219";395.008641218596;1.82286597727719;0.404375669493956;4.5078527586943;6.54869947814946e-06;0.000722707080715615;NA;NA
"ENSG00000133065";6909.18741729419;-0.484595840776442;0.141109498039724;-3.43418301041665;0.00059434277339516;0.0178753487528045;"SLC41A1";"254428"
"ENSG00000136653";1975.9463662939;1.10377702336755;0.280164622194596;3.9397444785191;8.15684409953432e-05;0.00421216351245575;NA;NA
"ENSG00000162892";238.169359825074;2.86182052375355;0.517009675040687;5.53533262898482;3.1063825010968e-08;2.23733112296101e-05;"IL24";"11009"
"ENSG00000162894";1186.29539726704;2.99793090527572;0.533644407957383;5.61784375620241;1.93355222411466e-08;1.5119825949084e-05;"FCMR";"9214"
"ENSG00000271680";33.546369312987;3.17959956026599;0.641706630760719;4.954911493585;7.23632202685473e-07;0.000172539015960762;NA;NA
"ENSG00000226945";25.3901063206837;2.40467763426908;0.595619029930204;4.03727468974734;5.40757383405647e-05;0.00312236051190489;NA;NA
"ENSG00000162896";79.9528592984201;1.83820131244776;0.514881714310962;3.57014293061024;0.000356786497013567;0.012407737784961;"PIGR";"5284"
"ENSG00000203710";153.368141258017;2.14980793142147;0.564368768552103;3.80922554757387;0.00013940274969225;0.00621386621551658;"CR1";"1378"
"ENSG00000009790";1067.3349279058;2.44617773747753;0.472299072737526;5.17929820039465;2.22722198442283e-07;7.52553561625537e-05;"TRAF3IP3";"80342"
"ENSG00000082512";2023.32813355605;1.65516881855032;0.341000547998613;4.85385970276228;1.21081412161733e-06;0.000230166255640748;"TRAF5";"7188"
"ENSG00000065600";263.786944101537;0.716400296628625;0.208841246517355;3.430358267705;0.000602784786734984;0.0180696788917303;"PACC1";"55248"
"ENSG00000186205";3206.96906992975;-0.673816578255743;0.220257627015306;-3.05922018404802;0.00221913984415911;0.045563119575987;"MARC1";"64757"
"ENSG00000221571";20.6901182025351;-0.999761831146109;0.313266830156631;-3.19140660581983;0.00141581876060829;0.0329783350290112;NA;NA
